pname,pimgpath,pw,ph,phref,team
Brook Lopez,BrookLopez.jpg,282lb,7-0,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/l/lopezbr01.html,Bucks
Bryn Forbes,BrynForbes.jpg,205lb,6-2,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/f/forbebr01.html,Bucks
Pat Connaughton,PatConnaughton.jpg,209lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/c/connapa01.html,Bucks
Khris Middleton,KhrisMiddleton.jpg,222lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/m/middlkh01.html,Bucks
Bobby Portis,BobbyPortis.jpg,250lb,6-10,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/p/portibo01.html,Bucks
Donte DiVincenzo,DonteDiVincenzo.jpg,203lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/d/divindo01.html,Bucks
Giannis Antetokounmpo,GiannisAntetokounmpo.jpg,242lb,6-11,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/antetgi01.html,Bucks
Jrue Holiday,JrueHoliday.jpg,205lb,6-3,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/h/holidjr01.html,Bucks
Thanasis Antetokounmpo,ThanasisAntetokounmpo.jpg,219lb,6-6,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/antetth01.html,Bucks
Jordan Nwora,JordanNwora.jpg,225lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/n/nworajo01.html,Bucks
Sam Merrill,SamMerrill.jpg,205lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/m/merrisa01.html,Bucks
Jeff Teague,JeffTeague.jpg,195lb,6-3,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/t/teaguje01.html,Bucks
P.J. Tucker,PJTucker.jpg,245lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/t/tuckepj01.html,Bucks
Mamadi Diakite,MamadiDiakite.jpg,228lb,6-9,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/d/diakima01.html,Bucks
Axel Toupane,AxelToupane.jpg,197lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/t/toupaax01.html,Bucks
Elijah Bryant,ElijahBryant.jpg,210lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bryanel01.html,Bucks
Justin Jackson,JustinJackson.jpg,220lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/j/jacksju01.html,Bucks
Joe Harris,JoeHarris.jpg,220lb,6-6,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/h/harrijo01.html,Nets
Jeff Green,JeffGreen.jpg,235lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/g/greenje02.html,Nets
Bruce Brown,BruceBrown.jpg,202lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/brownbr01.html,Nets
Landry Shamet,LandryShamet.jpg,190lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/s/shamela01.html,Nets
Timothé Luwawu-Cabarrot,TimothLuwawuCabarrot.jpg,220lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/l/luwawti01.html,Nets
DeAndre Jordan,DeAndreJordan.jpg,265lb,6-11,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/j/jordade01.html,Nets
Kyrie Irving,KyrieIrving.jpg,195lb,6-2,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/i/irvinky01.html,Nets
Tyler Johnson,TylerJohnson.jpg,186lb,6-3,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/j/johnsty01.html,Nets
James Harden,JamesHarden.jpg,220lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/h/hardeja01.html,Nets
Kevin Durant,KevinDurant.jpg,240lb,6-10,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/d/duranke01.html,Nets
Nicolas Claxton,NicolasClaxton.jpg,215lb,6-11,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/c/claxtni01.html,Nets
Blake Griffin,BlakeGriffin.jpg,250lb,6-10,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/g/griffbl01.html,Nets
Reggie Perry,ReggiePerry.jpg,250lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/p/perryre01.html,Nets
Chris Chiozza,ChrisChiozza.jpg,175lb,5-11,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/c/chiozch01.html,Nets
Alize Johnson,AlizeJohnson.jpg,212lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/j/johnsal02.html,Nets
Mike James,MikeJames.jpg,189lb,6-1,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/j/jamesmi02.html,Nets
Spencer Dinwiddie,SpencerDinwiddie.jpg,215lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/d/dinwisp01.html,Nets
Robin Lopez,RobinLopez.jpg,281lb,7-0,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/l/lopezro01.html,Wizards
Russell Westbrook,RussellWestbrook.jpg,200lb,6-3,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/w/westbru01.html,Wizards
Raul Neto,RaulNeto.jpg,180lb,6-1,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/n/netora01.html,Wizards
Garrison Mathews,GarrisonMathews.jpg,215lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/m/mathega01.html,Wizards
Bradley Beal,BradleyBeal.jpg,207lb,6-3,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bealbr01.html,Wizards
Rui Hachimura,RuiHachimura.jpg,230lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/h/hachiru01.html,Wizards
Dāvis Bertāns,DvisBertns.jpg,225lb,6-10,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bertada01.html,Wizards
Alex Len,AlexLen.jpg,250lb,7-0,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/l/lenal01.html,Wizards
Deni Avdija,DeniAvdija.jpg,210lb,6-9,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/avdijde01.html,Wizards
Ish Smith,IshSmith.jpg,175lb,6-0,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/s/smithis01.html,Wizards
Isaac Bonga,IsaacBonga.jpg,180lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bongais01.html,Wizards
Anthony Gill,AnthonyGill.jpg,230lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/g/gillan01.html,Wizards
Daniel Gafford,DanielGafford.jpg,234lb,6-10,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/g/gaffoda01.html,Wizards
Cassius Winston,CassiusWinston.jpg,185lb,6-1,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/w/winstca01.html,Wizards
Chandler Hutchison,ChandlerHutchison.jpg,210lb,6-6,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/h/hutchch01.html,Wizards
Thomas Bryant,ThomasBryant.jpg,248lb,6-10,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bryanth01.html,Wizards
Caleb Homesley,CalebHomesley.jpg,205lb,6-6,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/h/homesca01.html,Wizards
Bojan Bogdanović,BojanBogdanovi.jpg,226lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bogdabo02.html,Jazz
Georges Niang,GeorgesNiang.jpg,230lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/n/niangge01.html,Jazz
Rudy Gobert,RudyGobert.jpg,258lb,7-1,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/g/goberru01.html,Jazz
Royce O'Neale,RoyceONeale.jpg,226lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/o/onealro01.html,Jazz
Jordan Clarkson,JordanClarkson.jpg,194lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/c/clarkjo01.html,Jazz
Derrick Favors,DerrickFavors.jpg,265lb,6-9,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/f/favorde01.html,Jazz
Joe Ingles,JoeIngles.jpg,220lb,6-8,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/i/inglejo01.html,Jazz
Miye Oni,MiyeOni.jpg,206lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/o/onimi01.html,Jazz
Donovan Mitchell,DonovanMitchell.jpg,215lb,6-1,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/m/mitchdo01.html,Jazz
Mike Conley,MikeConley.jpg,175lb,6-1,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/c/conlemi01.html,Jazz
Trent Forrest,TrentForrest.jpg,210lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/f/forretr01.html,Jazz
Juwan Morgan,JuwanMorgan.jpg,232lb,6-7,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/m/morgaju01.html,Jazz
Jarrell Brantley,JarrellBrantley.jpg,250lb,6-5,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/brantja01.html,Jazz
Matt Thomas,MattThomas.jpg,190lb,6-4,https://www.basketball-reference.comhttps://www.basketball-reference.com/players/t/thomama02.html,Jazz
