tname,tcity,thref,coachname,coachimg,home
Bucks,Milwaukee,https://www.basketball-reference.com/teams/MIL/2021.html,Mike Budenholzer,MikeBudenholzer.png,"Fiserv Forum "
Nets,Brooklyn,https://www.basketball-reference.com/teams/BRK/2021.html,Steve Nash,,"Barclays Center "
Wizards,Washington,https://www.basketball-reference.com/teams/WAS/2021.html,Scott Brooks,ScottBrooks.png,Capital One Arena
Jazz,Utah,https://www.basketball-reference.com/teams/UTA/2021.html,Quin Snyder,QuinSnyder.png,Vivint Smart Home Arena
Blazers,Portland Trail,https://www.basketball-reference.com/teams/POR/2021.html,Terry Stotts,TerryStotts.png,Moda Center
Suns,Phoenix,https://www.basketball-reference.com/teams/PHO/2021.html,Monty Williams,MontyWilliams.png,Phoenix Suns Arena
Pacers,Indiana,https://www.basketball-reference.com/teams/IND/2021.html,Nate Bjorkgren,,Bankers Life Fieldhouse
Nuggets,Denver,https://www.basketball-reference.com/teams/DEN/2021.html,Michael Malone,MichaelMalone.png,Ball Arena
Pelicans,New Orleans,https://www.basketball-reference.com/teams/NOP/2021.html,Stan Van Gundy,StanVanGundy.png,Smoothie King Center
Clippers,Los Angeles,https://www.basketball-reference.com/teams/LAC/2021.html,Tyronn Lue,TyronnLue.png,STAPLES Center
Hawks,Atlanta,https://www.basketball-reference.com/teams/ATL/2021.html,Lloyd Pierce,,State Farm Arena
Kings,Sacramento,https://www.basketball-reference.com/teams/SAC/2021.html,Luke Walton,waltolu01c.png,Golden 1 Center
Warriors,Golden State,https://www.basketball-reference.com/teams/GSW/2021.html,Steve Kerr,kerrst01c.png,Chase Center
76ers,Philadelphia,https://www.basketball-reference.com/teams/PHI/2021.html,Doc Rivers,Doc Rivers,Wells Fargo Center
Grizzlies,Memphis,https://www.basketball-reference.com/teams/MEM/2021.html,Taylor Jenkins,,FedEx Forum
Celtics,Boston,https://www.basketball-reference.com/teams/BOS/2021.html,Brad Stevens,stevebr99c.png,TD Garden
Mavericks,Dallas,https://www.basketball-reference.com/teams/DAL/2021.html,Rick Carlisle,carliri01c.png,"American Airlines Center "
Timberwolves,Minnesota,https://www.basketball-reference.com/teams/MIN/2021.html,Ryan Saunders,,Target Center
Raptors,Toronto,https://www.basketball-reference.com/teams/TOR/2021.html,Nick Nurse,nurseni01c.png,Amalie Arena
Spurs,San Antonio,https://www.basketball-reference.com/teams/SAS/2021.html,Gregg Popovich,,AT&T Center
Bulls,Chicago,https://www.basketball-reference.com/teams/CHI/2021.html,Billy Donovan,donovbi99c.png,United Center
Lakers,Los Angeles,https://www.basketball-reference.com/teams/LAL/2021.html,Frank Vogel,vogelfr99c.png,STAPLES Center
Hornets,Charlotte,https://www.basketball-reference.com/teams/CHO/2021.html,James Borrego,borreja99c.png,Spectrum Center
Rockets,Houston,https://www.basketball-reference.com/teams/HOU/2021.html,Stephen Silas,,Toyota Center
Heat,Miami,https://www.basketball-reference.com/teams/MIA/2021.html,Erik Spoelstra,spoeler99c.png,AmericanAirlines Arena
Knicks,New York,https://www.basketball-reference.com/teams/NYK/2021.html,Tom Thibodeau,thiboto99c.png,Madison Square Garden
Pistons,Detroit,https://www.basketball-reference.com/teams/DET/2021.html,Dwane Casey,caseydw99c.png,Little Caesars Arena
Thunder,Oklahoma City,https://www.basketball-reference.com/teams/OKC/2021.html,Mark Daigneault,,Chesapeake Energy Arena
Magic,Orlando,https://www.basketball-reference.com/teams/ORL/2021.html,Steve Clifford,cliffst99c.png,Amway Center
Cavaliers,Cleveland,https://www.basketball-reference.com/teams/CLE/2021.html,J.B. Bickerstaff,bickejb01c.png,"Quicken Loans Arena "
